,Adj_Close,atr,bullish,gap,r2,rank_score,slope,shares,rounded_shares,cost,cumulative_cost,weight,cumulative_weight
ENDP,16.29,0.58969,True,False,0.9289135656097318,20.187254272406356,21.732112674181472,33.91612542183181,33,537.5699999999999,537.5699999999999,0.026878499999999996,0.026878499999999996
VSI,11.1,0.8015549999999998,True,False,0.8537300777750532,15.045365526287641,17.623094134738803,24.95150052086258,24,266.4,803.9699999999999,0.013319999999999999,0.0401985
CORE,33.29,1.1855000000000004,True,False,0.9153648766404161,7.522003854289642,8.217492331470044,16.870518768452122,16,532.64,1336.61,0.026632,0.0668305
FOXF,71.0,2.033399999999997,True,False,0.9495321023410077,6.348493606878627,6.685917823343562,9.835743090390492,9,639.0,1975.61,0.03195,0.0987805
AVAV,106.98,4.875739999999999,True,False,0.9227924348560169,6.270139854507575,6.794745619567095,4.10194144888776,4,427.92,2403.5299999999997,0.021396000000000002,0.12017649999999999
LXU,9.89,0.37725,True,False,0.8529059670837191,5.236303878618628,6.139368325118829,53.01524188204109,53,524.1700000000001,2927.7,0.026208500000000003,0.146385
AMED,121.51,3.508585000000001,True,False,0.9463783938739802,4.954216609111705,5.2349215083321194,5.700303683678746,5,607.5500000000001,3535.25,0.0303775,0.1767625
SRDX,74.0,2.40009,True,False,0.9313689559372084,3.9891027221782456,4.283053130286195,8.333020845051644,8,592.0,4127.25,0.0296,0.2063625
HMSY,32.27,0.6779999999999997,True,False,0.8798237998772438,3.960174457716628,4.501099490908482,29.498525073746325,29,935.83,5063.08,0.0467915,0.253154
MRCY,52.74,1.5581999999999998,True,False,0.9084215029479298,3.8976843141368844,4.290612123874722,12.835322808368632,12,632.88,5695.96,0.031644,0.284798
OMCL,70.1,1.79625,True,False,0.9542492430781433,3.5393797732651415,3.709072654695627,11.134307585247043,11,771.0999999999999,6467.0599999999995,0.03855499999999999,0.323353
BEAT,61.35,2.2721199999999993,True,False,0.9596312446411662,3.3947165664155152,3.5375219235227147,8.802351988451317,8,490.8,6957.86,0.02454,0.347893
INGN,252.96,9.524350000000007,True,False,0.9053081919671319,3.330366443402256,3.6787101596482277,2.0998808317627957,2,505.92,7463.78,0.025296000000000003,0.373189
TRHC,80.41,4.251464999999999,True,False,0.808012294289211,3.293487671766202,4.076036583902977,4.704260766582815,4,321.64,7785.42,0.016082,0.389271
EPAY,70.95,1.8253749999999997,True,False,0.9577207888839505,3.164589841593449,3.3042927315811985,10.95665274258714,10,709.5,8494.92,0.035475,0.42474599999999996
REGI,27.35,1.0805499999999992,True,False,0.6897872970955774,3.148565217963381,4.564545086899613,18.509092591735705,18,492.3,8987.22,0.024615,0.44936099999999995
TREX,79.58,2.5882349999999987,True,False,0.893007631156303,3.10388054515123,3.47576038194903,7.727273605372004,7,557.06,9544.279999999999,0.027852999999999996,0.47721399999999997
CBM,63.0,1.8694599999999988,True,False,0.8630894154188717,2.9701957310812634,3.4413534426670935,10.698276507654624,10,630.0,10174.279999999999,0.0315,0.508714
COKE,177.99,4.70699,True,False,0.8923396039891717,2.9534713688372127,3.309806440993795,4.248999891650502,4,711.96,10886.239999999998,0.035598000000000005,0.544312
ATNI,72.09236626637555,1.5757110569050248,True,False,0.8384047596605466,2.952681343345468,3.5217850439457785,12.692682400340287,12,865.1083951965065,11751.348395196504,0.043255419759825324,0.5875674197598253
CTRL,33.93,1.2770500000000016,True,False,0.7674790144572772,2.8477004692608237,3.71046037170746,15.66109392741081,15,508.95,12260.298395196505,0.025447499999999998,0.6130149197598252
THRM,46.7,1.2724999999999997,True,False,0.9278250146290067,2.762878148024212,2.9778008832074403,15.717092337917489,15,700.5,12960.798395196505,0.035025,0.6480399197598252
LGND,268.34,8.326955,True,False,0.9408519244385765,2.7454308243963546,2.9180264748191944,2.401838367086168,2,536.68,13497.478395196506,0.026833999999999997,0.6748739197598252
IRDM,20.1,0.77225,True,False,0.7975309297166007,2.739889576407009,3.4354649761114815,25.89834898025251,25,502.50000000000006,13999.978395196506,0.025125,0.6999989197598252
BELFB,25.35,1.3373399999999998,True,False,0.8693852649658158,2.5787762910698264,2.9662065772085793,14.955060044566082,14,354.90000000000003,14354.878395196505,0.017745,0.7177439197598252
UEIC,40.25,1.425009999999998,True,False,0.7838442084765084,2.52972660882787,3.2273334183902254,14.034989228145788,14,563.5,14918.378395196505,0.028175,0.7459189197598252
JBT,119.1,2.8918049999999993,True,False,0.8707015087246797,2.499482477403749,2.8706536653011567,6.916095656519027,6,714.5999999999999,15632.978395196506,0.03573,0.7816489197598252
SPSC,95.75,2.1727149999999993,True,False,0.8624665752137212,2.4440757932330097,2.8338208847425332,9.205072915683836,9,861.75,16494.728395196507,0.0430875,0.8247364197598253
HLIT,5.5,0.19124999999999986,True,False,0.8543923586586047,2.3700108896765553,2.773913958450507,104.57516339869288,104,572.0,17066.728395196507,0.0286,0.8533364197598252
USPH,118.1,3.498294999999998,True,False,0.9088733996842692,2.3081820520594114,2.5396078847298686,5.717070744462663,5,590.5,17657.228395196507,0.029525,0.8828614197598252
NMIH,22.75,0.81828,True,False,0.7933686614543614,2.2972906096444423,2.8956155205742196,24.441511463068878,24,546.0,18203.228395196507,0.0273,0.9101614197598252
HF,43.98,0.9665200000000009,True,False,0.7762263394811281,2.292375924673937,2.9532313039084523,20.69279476886146,20,879.5999999999999,19082.828395196506,0.04398,0.9541414197598252
MCS,40.7,0.8124999999999997,True,False,0.8876393892168856,2.288807337558071,2.5785328652183375,24.615384615384624,22.0,895.4000000000001,19978.228395196507,0.04884,1.0029814197598252
